ID,Attribute,Date,Value
59,Pressure,02-Mar2019 00:00:21,3
60,Gas Flow,02-Mar2019 00:00:33,68
61,Temperature,02-Mar2019 00:00:17,53
62,Discharge,02-Mar2019 00:00:13,13
63,Vibration,02-Mar2019 00:00:17,82
64,Fuel Rate,02-Mar2019 00:00:29,28
65,Gas Flow,02-Mar2019 00:00:37,71
66,RPM,02-Mar2019 00:00:29,1265
67,Temperature,02-Mar2019 00:00:21,72
68,Discharge,02-Mar2019 00:00:17,12
69,Vibration,02-Mar2019 00:00:21,64
70,Discharge,02-Mar2019 00:00:21,13
71,Moisture,02-Mar2019 00:00:17,54%
72,Gas Flow,02-Mar2019 00:00:41,72
73,Vibration,02-Mar2019 00:00:25,50
74,Emission,02-Mar2019 00:00:21,6
75,Gas Flow,02-Mar2019 00:00:45,64
76,Fuel Rate,02-Mar2019 00:00:33,28
77,Pressure,02-Mar2019 00:00:25,5
78,Gas Flow,02-Mar2019 00:00:49,77
79,RPM,02-Mar2019 00:00:33,1150
80,No2,02-Mar2019 00:00:45,Medium
81,Emission,02-Mar2019 00:00:25,Data Lost
82,Vibration,02-Mar2019 00:00:29,79
83,Vibration,02-Mar2019 00:00:33,58
84,Pressure,02-Mar2019 00:00:29,4
85,Emission,02-Mar2019 00:00:29,6
86,Moisture,02-Mar2019 00:00:21,54%
87,Discharge,02-Mar2019 00:00:25,12
88,Emission,02-Mar2019 00:00:33,7
89,Gas Flow,02-Mar2019 00:00:53,76
90,Fuel Rate,02-Mar2019 00:00:37,30
91,Temperature,02-Mar2019 00:00:25,63
92,Fuel Rate,02-Mar2019 00:00:41,27
93,No2,02-Mar2019 00:00:49,High
94,Vibration,02-Mar2019 00:00:37,87
95,Emission,02-Mar2019 00:00:37,8
96,Temperature,02-Mar2019 00:00:29,75
97,Fuel Rate,02-Mar2019 00:00:45,30
98,RPM,02-Mar2019 00:00:37,1145
99,RPM,02-Mar2019 00:00:41,1777
100,Temperature,02-Mar2019 00:00:33,No Signal
101,Fuel Rate,02-Mar2019 00:00:49,25
102,RPM,02-Mar2019 00:00:45,1733
103,Fuel Rate,02-Mar2019 00:00:53,No Signal
104,Moisture,02-Mar2019 00:00:25,50%
105,Emission,02-Mar2019 00:00:41,9
106,No2,02-Mar2019 00:00:53,Medium
107,Discharge,02-Mar2019 00:00:29,17
108,Vibration,02-Mar2019 00:00:41,83
109,Vibration,02-Mar2019 00:00:45,64
110,No2,02-Mar2019 00:00:57,Low
111,Gas Flow,02-Mar2019 00:00:57,80
112,Temperature,02-Mar2019 00:00:37,I/O TimeOut
113,RPM,02-Mar2019 00:00:49,1226
114,RPM,02-Mar2019 00:00:53,Data Lost
115,Fuel Rate,02-Mar2019 00:00:57,28
116,Fuel Rate,02-Mar2019 00:01:01,28
117,RPM,02-Mar2019 00:00:57,1915
118,Gas Flow,02-Mar2019 00:01:01,77
119,RPM,02-Mar2019 00:01:01,1276
120,Pressure,02-Mar2019 00:00:33,2
121,Pressure,02-Mar2019 00:00:37,1
122,Pressure,02-Mar2019 00:00:41,2
123,RPM,02-Mar2019 00:01:05,1350
124,RPM,02-Mar2019 00:01:09,1688
125,Vibration,02-Mar2019 00:00:49,74
126,Vibration,02-Mar2019 00:00:53,85
127,Gas Flow,02-Mar2019 00:01:05,77
128,Vibration,02-Mar2019 00:00:57,Data Lost
129,Pressure,02-Mar2019 00:00:45,2
130,Emission,02-Mar2019 00:00:45,9
131,Temperature,02-Mar2019 00:00:41,68
132,Moisture,02-Mar2019 00:00:29,56%
133,Vibration,02-Mar2019 00:01:01,59
134,Vibration,02-Mar2019 00:01:05,73
135,Emission,02-Mar2019 00:00:49,10
136,Temperature,02-Mar2019 00:00:45,58
137,Vibration,02-Mar2019 00:01:09,83
138,Vibration,02-Mar2019 00:01:13,90
139,RPM,02-Mar2019 00:01:13,1060
140,No2,02-Mar2019 00:01:01,High
141,Pressure,02-Mar2019 00:00:49,3
142,Emission,02-Mar2019 00:00:53,10
143,Temperature,02-Mar2019 00:00:49,57
144,Vibration,02-Mar2019 00:01:17,59
145,Temperature,02-Mar2019 00:00:53,76
146,No2,02-Mar2019 00:01:05,Medium
147,Emission,02-Mar2019 00:00:57,9
148,No2,02-Mar2019 00:01:09,Medium
149,No2,02-Mar2019 00:01:13,Low
150,RPM,02-Mar2019 00:01:17,1662
151,No2,02-Mar2019 00:01:17,High
152,Moisture,02-Mar2019 00:00:33,68%
153,No2,02-Mar2019 00:01:21,High
154,Fuel Rate,02-Mar2019 00:01:05,28
155,Temperature,02-Mar2019 00:00:57,64
156,No2,02-Mar2019 00:01:25,Data Lost
157,Discharge,02-Mar2019 00:00:33,18
158,Vibration,02-Mar2019 00:01:21,73
159,Pressure,02-Mar2019 00:00:53,2
160,No2,02-Mar2019 00:01:29,Low
161,Fuel Rate,02-Mar2019 00:01:09,25
162,Emission,02-Mar2019 00:01:01,7
163,RPM,02-Mar2019 00:01:21,1373
164,Pressure,02-Mar2019 00:00:57,4
165,Vibration,02-Mar2019 00:01:25,84
166,Temperature,02-Mar2019 00:01:01,61
167,Emission,02-Mar2019 00:01:05,6
168,Vibration,02-Mar2019 00:01:29,82
169,Emission,02-Mar2019 00:01:09,8
170,No2,02-Mar2019 00:01:33,High
171,RPM,02-Mar2019 00:01:25,1842
172,Moisture,02-Mar2019 00:00:37,59%
173,Discharge,02-Mar2019 00:00:37,14
174,Moisture,02-Mar2019 00:00:41,64%
175,Gas Flow,02-Mar2019 00:01:09,66
176,Pressure,02-Mar2019 00:01:01,3
177,No2,02-Mar2019 00:01:37,High
178,Fuel Rate,02-Mar2019 00:01:13,25
179,Emission,02-Mar2019 00:01:13,9
180,No2,02-Mar2019 00:01:41,Medium
181,Discharge,02-Mar2019 00:00:41,20
182,No2,02-Mar2019 00:01:45,Low
183,Vibration,02-Mar2019 00:01:33,61
184,Fuel Rate,02-Mar2019 00:01:17,29
185,Pressure,02-Mar2019 00:01:05,4
186,Temperature,02-Mar2019 00:01:05,69
187,Discharge,02-Mar2019 00:00:45,14
188,Discharge,02-Mar2019 00:00:49,18
189,Discharge,02-Mar2019 00:00:53,15
190,No2,02-Mar2019 00:01:49,High
191,Pressure,02-Mar2019 00:01:09,3
192,Emission,02-Mar2019 00:01:17,7
193,No2,02-Mar2019 00:01:53,High
194,Temperature,02-Mar2019 00:01:09,56
195,Vibration,02-Mar2019 00:01:37,Data Lost
196,RPM,02-Mar2019 00:01:29,1780
197,Pressure,02-Mar2019 00:01:13,4
198,Vibration,02-Mar2019 00:01:41,59
199,No2,02-Mar2019 00:01:57,Medium
200,RPM,02-Mar2019 00:01:33,1436
201,Moisture,02-Mar2019 00:00:45,53%
202,Vibration,02-Mar2019 00:01:45,59
203,RPM,02-Mar2019 00:01:37,1554
204,Fuel Rate,02-Mar2019 00:01:21,26
205,RPM,02-Mar2019 00:01:41,1478
206,Pressure,02-Mar2019 00:01:17,4
207,Gas Flow,02-Mar2019 00:01:13,60
208,Pressure,02-Mar2019 00:01:21,3
209,Discharge,02-Mar2019 00:00:57,19
210,Gas Flow,02-Mar2019 00:01:17,80
211,Emission,02-Mar2019 00:01:21,6
212,Temperature,02-Mar2019 00:01:13,75
213,Moisture,02-Mar2019 00:00:49,54%
214,Moisture,02-Mar2019 00:00:53,52%
215,Discharge,02-Mar2019 00:01:01,16
216,Vibration,02-Mar2019 00:01:49,83
217,No2,02-Mar2019 00:02:01,Medium
218,Temperature,02-Mar2019 00:01:17,66
219,Fuel Rate,02-Mar2019 00:01:25,28
220,Vibration,02-Mar2019 00:01:53,83
221,Pressure,02-Mar2019 00:01:25,2
222,Temperature,02-Mar2019 00:01:21,68
223,Gas Flow,02-Mar2019 00:01:21,74
224,Gas Flow,02-Mar2019 00:01:25,66
225,Discharge,02-Mar2019 00:01:05,18
226,Gas Flow,02-Mar2019 00:01:29,63
227,Gas Flow,02-Mar2019 00:01:33,67
228,Gas Flow,02-Mar2019 00:01:37,79
229,Emission,02-Mar2019 00:01:25,10
230,Temperature,02-Mar2019 00:01:25,73
231,Pressure,02-Mar2019 00:01:29,3
232,Pressure,02-Mar2019 00:01:33,2
233,Vibration,02-Mar2019 00:01:57,89
234,Emission,02-Mar2019 00:01:29,10
235,Moisture,02-Mar2019 00:00:57,54%
236,Moisture,02-Mar2019 00:01:01,54%
237,Gas Flow,02-Mar2019 00:01:41,80
238,Gas Flow,02-Mar2019 00:01:45,76
239,RPM,02-Mar2019 00:01:45,1814
240,Pressure,02-Mar2019 00:01:37,2
241,RPM,02-Mar2019 00:01:49,1195
242,Emission,02-Mar2019 00:01:33,7
243,Pressure,02-Mar2019 00:01:41,5
244,Pressure,02-Mar2019 00:01:45,4
245,Temperature,02-Mar2019 00:01:29,54
246,Temperature,02-Mar2019 00:01:33,56
247,Moisture,02-Mar2019 00:01:05,54%
248,RPM,02-Mar2019 00:01:53,1101
249,No2,02-Mar2019 00:02:05,High
250,RPM,02-Mar2019 00:01:57,1388
251,RPM,02-Mar2019 00:02:01,1941
252,Gas Flow,02-Mar2019 00:01:49,68
253,Vibration,02-Mar2019 00:02:01,88
254,Pressure,02-Mar2019 00:01:49,2
255,Gas Flow,02-Mar2019 00:01:53,60
256,Pressure,02-Mar2019 00:01:53,5
257,Pressure,02-Mar2019 00:01:57,3
258,Discharge,02-Mar2019 00:01:09,15
259,No2,02-Mar2019 00:02:09,Low
260,Gas Flow,02-Mar2019 00:01:57,70
261,Fuel Rate,02-Mar2019 00:01:29,25
262,No2,02-Mar2019 00:02:13,Low
263,Emission,02-Mar2019 00:01:37,10
264,Gas Flow,02-Mar2019 00:02:01,60
265,Discharge,02-Mar2019 00:01:13,16
266,RPM,02-Mar2019 00:02:05,1570
267,Moisture,02-Mar2019 00:01:09,66%
268,Gas Flow,02-Mar2019 00:02:05,68
269,Vibration,02-Mar2019 00:02:05,56
270,Pressure,02-Mar2019 00:02:01,Data Lost
271,Moisture,02-Mar2019 00:01:13,52%
272,No2,02-Mar2019 00:02:17,Medium
273,Temperature,02-Mar2019 00:01:37,64
274,Discharge,02-Mar2019 00:01:17,20
275,RPM,02-Mar2019 00:02:09,1483
276,Gas Flow,02-Mar2019 00:02:09,76
277,Vibration,02-Mar2019 00:02:09,59
278,Emission,02-Mar2019 00:01:41,7
279,Pressure,02-Mar2019 00:02:05,5
280,No2,02-Mar2019 00:02:21,Medium
281,Moisture,02-Mar2019 00:01:17,56%
282,Discharge,02-Mar2019 00:01:21,13
283,Discharge,02-Mar2019 00:01:25,11
284,Pressure,02-Mar2019 00:02:09,4
285,Temperature,02-Mar2019 00:01:41,62
286,Pressure,02-Mar2019 00:02:13,5
287,Emission,02-Mar2019 00:01:45,6
288,RPM,02-Mar2019 00:02:13,1438
289,No2,02-Mar2019 00:02:25,Low
290,Emission,02-Mar2019 00:01:49,9
291,Temperature,02-Mar2019 00:01:45,58
292,Vibration,02-Mar2019 00:02:13,79
293,Gas Flow,02-Mar2019 00:02:13,62
294,No2,02-Mar2019 00:02:29,Low
295,Discharge,02-Mar2019 00:01:29,18
296,Gas Flow,02-Mar2019 00:02:17,62
297,RPM,02-Mar2019 00:02:17,1780
298,Temperature,02-Mar2019 00:01:49,71
299,Pressure,02-Mar2019 00:02:17,1
300,Temperature,02-Mar2019 00:01:53,56
301,Fuel Rate,02-Mar2019 00:01:33,26
302,Pressure,02-Mar2019 00:02:21,2
303,Fuel Rate,02-Mar2019 00:01:37,28
304,Moisture,02-Mar2019 00:01:21,65%
305,Discharge,02-Mar2019 00:01:33,11
306,Moisture,02-Mar2019 00:01:25,68%
307,Fuel Rate,02-Mar2019 00:01:41,28
308,Moisture,02-Mar2019 00:01:29,60%
309,Vibration,02-Mar2019 00:02:17,88
310,Moisture,02-Mar2019 00:01:33,66%
311,No2,02-Mar2019 00:02:33,Low
312,Discharge,02-Mar2019 00:01:37,17
313,RPM,02-Mar2019 00:02:21,1702
314,Discharge,02-Mar2019 00:01:41,14
315,Moisture,02-Mar2019 00:01:37,54%
316,Moisture,02-Mar2019 00:01:41,58%
317,Fuel Rate,02-Mar2019 00:01:45,27
318,Gas Flow,02-Mar2019 00:02:21,75
319,Pressure,02-Mar2019 00:02:25,4
320,No2,02-Mar2019 00:02:37,Low
321,Temperature,02-Mar2019 00:01:57,55
322,Temperature,02-Mar2019 00:02:01,66
323,Temperature,02-Mar2019 00:02:05,76
324,Moisture,02-Mar2019 00:01:45,66%
325,Vibration,02-Mar2019 00:02:21,52
326,Gas Flow,02-Mar2019 00:02:25,76
327,No2,02-Mar2019 00:02:41,High
328,Fuel Rate,02-Mar2019 00:01:49,No Signal
329,Gas Flow,02-Mar2019 00:02:29,79
330,Fuel Rate,02-Mar2019 00:01:53,29
331,Emission,02-Mar2019 00:01:53,7
332,Emission,02-Mar2019 00:01:57,5
333,Temperature,02-Mar2019 00:02:09,64
334,No2,02-Mar2019 00:02:45,High
335,Pressure,02-Mar2019 00:02:29,4
336,Moisture,02-Mar2019 00:01:49,54%
337,Discharge,02-Mar2019 00:01:45,19
338,Pressure,02-Mar2019 00:02:33,2
339,Moisture,02-Mar2019 00:01:53,55%
340,Vibration,02-Mar2019 00:02:25,70
341,Pressure,02-Mar2019 00:02:37,5
342,Vibration,02-Mar2019 00:02:29,No Signal
343,Vibration,02-Mar2019 00:02:33,86
344,Pressure,02-Mar2019 00:02:41,5
345,Emission,02-Mar2019 00:02:01,5
346,Emission,02-Mar2019 00:02:05,5
347,Moisture,02-Mar2019 00:01:57,53%
348,Discharge,02-Mar2019 00:01:49,10
349,Emission,02-Mar2019 00:02:09,10
350,Fuel Rate,02-Mar2019 00:01:57,25
351,Vibration,02-Mar2019 00:02:37,71
352,No2,02-Mar2019 00:02:49,High
353,Fuel Rate,02-Mar2019 00:02:01,30
354,Discharge,02-Mar2019 00:01:53,12
355,Discharge,02-Mar2019 00:01:57,14
356,Discharge,02-Mar2019 00:02:01,12
357,Emission,02-Mar2019 00:02:13,8
358,Discharge,02-Mar2019 00:02:05,17
359,Emission,02-Mar2019 00:02:17,10
360,Gas Flow,02-Mar2019 00:02:33,73
361,Fuel Rate,02-Mar2019 00:02:05,25
362,Fuel Rate,02-Mar2019 00:02:09,27
363,Pressure,02-Mar2019 00:02:45,4
364,Vibration,02-Mar2019 00:02:41,53
365,Temperature,02-Mar2019 00:02:13,62
366,RPM,02-Mar2019 00:02:25,1822
367,RPM,02-Mar2019 00:02:29,1525
368,Temperature,02-Mar2019 00:02:17,51
369,Vibration,02-Mar2019 00:02:45,82
370,Moisture,02-Mar2019 00:02:01,50%
371,RPM,02-Mar2019 00:02:33,1190
372,RPM,02-Mar2019 00:02:37,1453
373,Discharge,02-Mar2019 00:02:09,18
374,Discharge,02-Mar2019 00:02:13,20
375,Emission,02-Mar2019 00:02:21,8
376,Discharge,02-Mar2019 00:02:17,15
377,Moisture,02-Mar2019 00:02:05,55%
378,Fuel Rate,02-Mar2019 00:02:13,27
379,Fuel Rate,02-Mar2019 00:02:17,26
380,Gas Flow,02-Mar2019 00:02:37,72
381,Gas Flow,02-Mar2019 00:02:41,60
382,RPM,02-Mar2019 00:02:41,No Signal
383,Moisture,02-Mar2019 00:02:09,70%
384,RPM,02-Mar2019 00:02:45,I/O TimeOut
385,Fuel Rate,02-Mar2019 00:02:21,26
386,Temperature,02-Mar2019 00:02:21,76
387,Pressure,02-Mar2019 00:02:49,3
388,Moisture,02-Mar2019 00:02:13,57%
389,RPM,02-Mar2019 00:02:49,1959
390,Vibration,02-Mar2019 00:02:49,84
391,Moisture,02-Mar2019 00:02:17,62%
392,No2,02-Mar2019 00:02:53,Low
393,Moisture,02-Mar2019 00:02:21,62%
394,Emission,02-Mar2019 00:02:25,9
395,Moisture,02-Mar2019 00:02:25,55%
396,Vibration,02-Mar2019 00:02:53,89
397,Fuel Rate,02-Mar2019 00:02:25,26
398,Gas Flow,02-Mar2019 00:02:45,69
399,RPM,02-Mar2019 00:02:53,1640
400,Pressure,02-Mar2019 00:02:53,5
401,Moisture,02-Mar2019 00:02:29,64%
402,Fuel Rate,02-Mar2019 00:02:29,30
403,Vibration,02-Mar2019 00:02:57,69
404,Pressure,02-Mar2019 00:02:57,2
405,Temperature,02-Mar2019 00:02:25,72
406,Temperature,02-Mar2019 00:02:29,55
407,Moisture,02-Mar2019 00:02:33,63%
408,Discharge,02-Mar2019 00:02:21,17
409,Pressure,02-Mar2019 00:03:01,5
410,RPM,02-Mar2019 00:02:57,1719
411,No2,02-Mar2019 00:02:57,High
412,Discharge,02-Mar2019 00:02:25,11
413,No2,02-Mar2019 00:03:01,Low
414,Fuel Rate,02-Mar2019 00:02:33,30
415,Emission,02-Mar2019 00:02:29,5
416,Pressure,02-Mar2019 00:03:05,1
417,Fuel Rate,02-Mar2019 00:02:37,26
418,Gas Flow,02-Mar2019 00:02:49,76
419,Vibration,02-Mar2019 00:03:01,85
420,Emission,02-Mar2019 00:02:33,I/O TimeOut
421,Emission,02-Mar2019 00:02:37,7
422,Discharge,02-Mar2019 00:02:29,19
423,Discharge,02-Mar2019 00:02:33,14
424,Vibration,02-Mar2019 00:03:05,77
425,Moisture,02-Mar2019 00:02:37,57%
426,Moisture,02-Mar2019 00:02:41,52%
427,Temperature,02-Mar2019 00:02:33,50
428,Fuel Rate,02-Mar2019 00:02:41,30
429,No2,02-Mar2019 00:03:05,Low
430,Vibration,02-Mar2019 00:03:09,59
431,Emission,02-Mar2019 00:02:41,9
432,Vibration,02-Mar2019 00:03:13,50
433,Fuel Rate,02-Mar2019 00:02:45,27
434,Temperature,02-Mar2019 00:02:37,76
435,No2,02-Mar2019 00:03:09,Medium
436,Emission,02-Mar2019 00:02:45,10
437,Pressure,02-Mar2019 00:03:09,5
438,Temperature,02-Mar2019 00:02:41,51
439,Vibration,02-Mar2019 00:03:17,82
440,Vibration,02-Mar2019 00:03:21,85
441,No2,02-Mar2019 00:03:13,Medium
442,Vibration,02-Mar2019 00:03:25,84
443,Pressure,02-Mar2019 00:03:13,3
444,No2,02-Mar2019 00:03:17,Medium
445,No2,02-Mar2019 00:03:21,Medium
446,Temperature,02-Mar2019 00:02:45,68
447,Fuel Rate,02-Mar2019 00:02:49,25
448,RPM,02-Mar2019 00:03:01,1602
449,No2,02-Mar2019 00:03:25,Medium
450,RPM,02-Mar2019 00:03:05,1098
451,Vibration,02-Mar2019 00:03:29,78
452,Moisture,02-Mar2019 00:02:45,I/O TimeOut
453,Fuel Rate,02-Mar2019 00:02:53,25
454,Moisture,02-Mar2019 00:02:49,56%
455,Pressure,02-Mar2019 00:03:17,4
456,Temperature,02-Mar2019 00:02:49,55
457,Pressure,02-Mar2019 00:03:21,5
458,Temperature,02-Mar2019 00:02:53,73
459,Moisture,02-Mar2019 00:02:53,69%
460,RPM,02-Mar2019 00:03:09,1582
461,Fuel Rate,02-Mar2019 00:02:57,29
462,Vibration,02-Mar2019 00:03:33,55
463,Pressure,02-Mar2019 00:03:25,1
464,No2,02-Mar2019 00:03:29,High
465,Pressure,02-Mar2019 00:03:29,3
466,Gas Flow,02-Mar2019 00:02:53,78
467,Emission,02-Mar2019 00:02:49,5
468,Fuel Rate,02-Mar2019 00:03:01,28
469,Fuel Rate,02-Mar2019 00:03:05,28
470,Pressure,02-Mar2019 00:03:33,3
471,Moisture,02-Mar2019 00:02:57,57%
472,No2,02-Mar2019 00:03:33,High
473,Pressure,02-Mar2019 00:03:37,2
474,Vibration,02-Mar2019 00:03:37,71
475,Discharge,02-Mar2019 00:02:37,10
476,No2,02-Mar2019 00:03:37,High
477,Pressure,02-Mar2019 00:03:41,1
478,Discharge,02-Mar2019 00:02:41,17
479,Pressure,02-Mar2019 00:03:45,1
480,Fuel Rate,02-Mar2019 00:03:09,26
481,Pressure,02-Mar2019 00:03:49,1
482,Vibration,02-Mar2019 00:03:41,72
483,Pressure,02-Mar2019 00:03:53,3
484,No2,02-Mar2019 00:03:41,I/O TimeOut
485,Gas Flow,02-Mar2019 00:02:57,No Signal
486,Gas Flow,02-Mar2019 00:03:01,75
487,No2,02-Mar2019 00:03:45,Low
488,Discharge,02-Mar2019 00:02:45,12
489,Vibration,02-Mar2019 00:03:45,I/O TimeOut
490,Emission,02-Mar2019 00:02:53,5
491,Fuel Rate,02-Mar2019 00:03:13,27
492,Fuel Rate,02-Mar2019 00:03:17,25
493,Emission,02-Mar2019 00:02:57,7
494,Emission,02-Mar2019 00:03:01,9
495,Moisture,02-Mar2019 00:03:01,56%
496,Emission,02-Mar2019 00:03:05,6
497,Fuel Rate,02-Mar2019 00:03:21,29
498,Discharge,02-Mar2019 00:02:49,19
499,Fuel Rate,02-Mar2019 00:03:25,25
500,Pressure,02-Mar2019 00:03:57,1
501,Vibration,02-Mar2019 00:03:49,62
502,RPM,02-Mar2019 00:03:13,1134
503,Pressure,02-Mar2019 00:04:01,1
504,Emission,02-Mar2019 00:03:09,9
505,Gas Flow,02-Mar2019 00:03:05,71
506,Vibration,02-Mar2019 00:03:53,90
507,Temperature,02-Mar2019 00:02:57,74
508,Moisture,02-Mar2019 00:03:05,60%
509,Gas Flow,02-Mar2019 00:03:09,76
510,Moisture,02-Mar2019 00:03:09,56%
511,Discharge,02-Mar2019 00:02:53,13
512,Vibration,02-Mar2019 00:03:57,86
513,Moisture,02-Mar2019 00:03:13,60%
514,Vibration,02-Mar2019 00:04:01,65
515,Pressure,02-Mar2019 00:04:05,3
516,Pressure,02-Mar2019 00:04:09,4
517,Vibration,02-Mar2019 00:04:05,59
518,RPM,02-Mar2019 00:03:17,1168
519,Discharge,02-Mar2019 00:02:57,15
520,Gas Flow,02-Mar2019 00:03:13,80
521,Vibration,02-Mar2019 00:04:09,60
522,Pressure,02-Mar2019 00:04:13,No Signal
523,Discharge,02-Mar2019 00:03:01,I/O TimeOut
524,Vibration,02-Mar2019 00:04:13,86
525,Gas Flow,02-Mar2019 00:03:17,73
526,Fuel Rate,02-Mar2019 00:03:29,26
527,Vibration,02-Mar2019 00:04:17,66
528,Temperature,02-Mar2019 00:03:01,79
529,Discharge,02-Mar2019 00:03:05,16
530,Moisture,02-Mar2019 00:03:17,63%
531,Pressure,02-Mar2019 00:04:17,2
532,Gas Flow,02-Mar2019 00:03:21,72
533,Pressure,02-Mar2019 00:04:21,2
534,Pressure,02-Mar2019 00:04:25,5
535,Discharge,02-Mar2019 00:03:09,14
536,Discharge,02-Mar2019 00:03:13,19
537,Discharge,02-Mar2019 00:03:17,12
538,Moisture,02-Mar2019 00:03:21,54%
539,Fuel Rate,02-Mar2019 00:03:33,27
540,No2,02-Mar2019 00:03:49,Medium
541,Vibration,02-Mar2019 00:04:21,74
542,Pressure,02-Mar2019 00:04:29,2
543,Emission,02-Mar2019 00:03:13,6
544,Fuel Rate,02-Mar2019 00:03:37,26
545,Discharge,02-Mar2019 00:03:21,15
546,Vibration,02-Mar2019 00:04:25,88
547,Fuel Rate,02-Mar2019 00:03:41,26
548,No2,02-Mar2019 00:03:53,High
549,Vibration,02-Mar2019 00:04:29,88
550,Gas Flow,02-Mar2019 00:03:25,65
551,No2,02-Mar2019 00:03:57,Low
552,Moisture,02-Mar2019 00:03:25,50%
553,Gas Flow,02-Mar2019 00:03:29,65
554,No2,02-Mar2019 00:04:01,Medium
555,Pressure,02-Mar2019 00:04:33,2
556,Vibration,02-Mar2019 00:04:33,83
557,RPM,02-Mar2019 00:03:21,I/O TimeOut
558,RPM,02-Mar2019 00:03:25,1251
559,Discharge,02-Mar2019 00:03:25,18
560,Fuel Rate,02-Mar2019 00:03:45,28
561,Temperature,02-Mar2019 00:03:05,62
562,No2,02-Mar2019 00:04:05,Medium
563,No2,02-Mar2019 00:04:09,High
564,Gas Flow,02-Mar2019 00:03:33,74
565,Vibration,02-Mar2019 00:04:37,83
566,No2,02-Mar2019 00:04:13,Medium
567,Gas Flow,02-Mar2019 00:03:37,66
568,Discharge,02-Mar2019 00:03:29,17
569,No2,02-Mar2019 00:04:17,Medium
570,No2,02-Mar2019 00:04:21,High
571,Vibration,02-Mar2019 00:04:41,83
572,No2,02-Mar2019 00:04:25,High
573,Fuel Rate,02-Mar2019 00:03:49,29
574,Temperature,02-Mar2019 00:03:09,63
575,Temperature,02-Mar2019 00:03:13,79
576,Moisture,02-Mar2019 00:03:29,Data Lost
577,RPM,02-Mar2019 00:03:29,1331
578,Moisture,02-Mar2019 00:03:33,62%
579,Moisture,02-Mar2019 00:03:37,59%
580,Vibration,02-Mar2019 00:04:45,69
581,RPM,02-Mar2019 00:03:33,1842
582,Vibration,02-Mar2019 00:04:49,56
583,Discharge,02-Mar2019 00:03:33,15
584,Pressure,02-Mar2019 00:04:37,1
585,Temperature,02-Mar2019 00:03:17,64
586,Fuel Rate,02-Mar2019 00:03:53,28
587,RPM,02-Mar2019 00:03:37,1294
588,Temperature,02-Mar2019 00:03:21,51
589,Moisture,02-Mar2019 00:03:41,57%
590,Emission,02-Mar2019 00:03:17,8
591,Moisture,02-Mar2019 00:03:45,55%
592,No2,02-Mar2019 00:04:29,High
593,RPM,02-Mar2019 00:03:41,1403
